clip,timestamp_s,is_keyframe,time_since_kf,pan_prev,pan_velocity,wide_player_count,wide_action_pan,wide_action_pan_offset,wide_action_pan_std,wide_centroid_x,wide_centroid_y,wide_spread_x,wide_spread_y,wide_players_left_frac,wide_ball_eq_pan,wide_ball_x,wide_ball_y,wide_ball_conf,wide_ball_detected,studio_player_count,studio_action_pan,studio_action_pan_offset,studio_action_pan_std,studio_centroid_x,studio_centroid_y,studio_spread_x,studio_spread_y,studio_players_left_frac,studio_ball_eq_pan,studio_ball_x,studio_ball_y,studio_ball_conf,studio_ball_detected,target_pan,target_tilt,target_fov
VID_20241028_124047_10_010,241.58,1,0.0,0.0,8.9066,0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0,2,20.6862,20.6862,32.1725,0.6033,0.0863,0.1471,0.0215,0.5,0.0,0.0,0.0,0.0,0,8.9066,-4.7906,66.2147
VID_20241028_124047_10_010,242.047,0,0.47,8.9066,-0.2092,0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0,4,9.5623,9.5623,36.2011,0.5454,0.0858,0.1614,0.0191,0.5,0.0,0.0,0.0,0.0,0,8.6974,-4.76,65.1797
VID_20241028_124047_10_010,242.514,0,0.93,8.6974,-0.2062,0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0,5,11.391,11.391,33.911,0.5494,0.0853,0.1538,0.0197,0.4,0.0,0.0,0.0,0.0,0,8.4912,-4.7297,64.1898
VID_20241028_124047_10_010,242.981,0,1.4,8.4912,-0.2031,0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0,3,-12.0116,-12.0116,26.0766,0.4382,0.1003,0.1144,0.0195,0.6667,0.0,0.0,0.0,0.0,0,8.2881,-4.6999,63.2438
VID_20241028_124047_10_010,243.449,0,1.87,8.2881,-0.1999,0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0,5,-2.1392,-2.1392,42.0945,0.4901,0.0953,0.2044,0.0221,0.6,0.0,0.0,0.0,0.0,0,8.0881,-4.6706,62.3409
VID_20241028_124047_10_010,243.916,0,2.34,8.0881,-0.1967,0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0,4,-18.3824,-18.3824,34.6017,0.4,0.1063,0.1627,0.0215,0.75,0.0,0.0,0.0,0.0,0,7.8914,-4.6417,61.48
VID_20241028_124047_10_010,244.383,0,2.8,7.8914,-0.1934,0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0,3,-14.2515,-14.2515,29.3132,0.4235,0.1056,0.1354,0.0207,0.6667,0.0,0.0,0.0,0.0,0,7.698,-4.6134,60.66
VID_20241028_124047_10_010,244.85,0,3.27,7.698,-0.19,0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0,6,-10.2701,-10.2701,30.9926,0.4506,0.0885,0.1386,0.0235,0.6667,0.0,0.0,0.0,0.0,0,7.508,-4.5855,59.8801
VID_20241028_124047_10_010,245.317,0,3.74,7.508,-0.1866,0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0,7,-6.511,-6.511,41.3854,0.4505,0.1029,0.2217,0.0309,0.5714,0.0,0.0,0.0,0.0,0,7.3214,-4.5582,59.1392
VID_20241028_124047_10_010,245.784,0,4.2,7.3214,-0.183,0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0,4,-34.8401,-34.8401,15.2042,0.3361,0.0952,0.0992,0.0288,1.0,0.0,0.0,0.0,0.0,0,7.1384,-4.5313,58.4362
