epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,149.096,2.75504,3.49434,0.79205,0.7369,0.50958,0.55822,0.24324,2.36132,1.70074,0.7684,9.96667e-05,9.96667e-05,0.0834886
2,277.474,2.65877,1.70696,0.77038,0.76026,0.55217,0.62869,0.26901,2.28427,1.77682,0.77608,0.000199657,0.000199657,0.0669219
3,404.897,2.62734,1.60509,0.77307,0.73397,0.5421,0.58955,0.21871,2.39935,1.93515,0.77558,0.000299606,0.000299606,0.0503552
4,531.583,2.66477,1.63211,0.75963,0.75148,0.5265,0.59735,0.24,2.32871,1.66794,0.78277,0.000399485,0.000399485,0.0337884
5,657.463,2.61144,1.65682,0.77087,0.73385,0.55911,0.60783,0.22783,2.38719,1.66931,0.76525,0.000499263,0.000499263,0.0172215
6,782.897,2.57166,1.56019,0.76454,0.75238,0.59701,0.64652,0.27056,2.33843,1.54166,0.77786,0.00059891,0.00059891,0.000654466
7,908.708,2.56634,1.56857,0.76731,0.77842,0.5724,0.64725,0.27053,2.30566,1.53078,0.76973,0.000598911,0.000598911,0.000598911
8,1034.48,2.4788,1.43837,0.76018,0.8216,0.58946,0.67719,0.29738,2.16306,1.44524,0.76747,0.000598517,0.000598517,0.000598517
9,1161.3,2.48316,1.44589,0.74761,0.82623,0.58786,0.67438,0.28456,2.1831,1.44032,0.76836,0.000598064,0.000598064,0.000598064
10,1287.78,2.49044,1.46341,0.75452,0.83236,0.60863,0.70247,0.29843,2.23682,1.38815,0.7627,0.000597551,0.000597551,0.000597551
11,1414.02,2.42602,1.34989,0.7517,0.81089,0.62141,0.71155,0.32766,2.11976,1.3457,0.77315,0.000596977,0.000596977,0.000596977
12,1540.9,2.4174,1.34176,0.73689,0.78607,0.61046,0.70306,0.31332,2.14803,1.37008,0.75405,0.000596343,0.000596343,0.000596343
13,1667.94,2.38225,1.35978,0.74734,0.7988,0.60224,0.67093,0.30256,2.21162,1.38407,0.76837,0.00059565,0.00059565,0.00059565
14,1793.33,2.49144,1.38577,0.7567,0.84141,0.60224,0.69631,0.3162,2.19193,1.35537,0.76731,0.000594897,0.000594897,0.000594897
15,1918.16,2.36396,1.31321,0.74382,0.81708,0.68502,0.74837,0.32472,2.10383,1.26406,0.75605,0.000594085,0.000594085,0.000594085
16,2044.58,2.36141,1.30013,0.74442,0.80423,0.61685,0.69926,0.31676,2.11712,1.30458,0.76231,0.000593213,0.000593213,0.000593213
17,2169.58,2.37972,1.28816,0.73827,0.85215,0.61661,0.71165,0.34262,2.09277,1.41239,0.77224,0.000592282,0.000592282,0.000592282
18,2295.99,2.32587,1.28222,0.73904,0.82128,0.67538,0.73999,0.35068,2.09316,1.25945,0.76759,0.000591291,0.000591291,0.000591291
19,2421.87,2.29637,1.22028,0.73414,0.81686,0.68371,0.76657,0.35937,2.05469,1.19009,0.75746,0.000590243,0.000590243,0.000590243
20,2547.62,2.30972,1.25239,0.73858,0.81364,0.64163,0.72928,0.34287,2.06184,1.39131,0.7601,0.000589135,0.000589135,0.000589135
21,2672.85,2.31715,1.24761,0.74331,0.85843,0.66837,0.76737,0.35691,2.04081,1.22518,0.7581,0.000587969,0.000587969,0.000587969
22,2796.82,2.33101,1.21487,0.73526,0.86503,0.68594,0.77477,0.34334,2.1025,1.1587,0.76892,0.000586746,0.000586746,0.000586746
23,2921.93,2.32812,1.22544,0.73897,0.83526,0.66773,0.75259,0.3592,2.01965,1.26534,0.76093,0.000585464,0.000585464,0.000585464
24,3047.1,2.34493,1.21949,0.72785,0.81214,0.67679,0.75231,0.35019,2.043,1.28315,0.76195,0.000584124,0.000584124,0.000584124
25,3172.32,2.31426,1.1576,0.73429,0.83979,0.66454,0.73901,0.33402,2.08082,1.16928,0.76551,0.000582728,0.000582728,0.000582728
26,3297.07,2.32569,1.14255,0.73502,0.85405,0.70105,0.7845,0.37828,1.9841,1.21219,0.7647,0.000581274,0.000581274,0.000581274
27,3421.2,2.29251,1.16629,0.73068,0.87585,0.67572,0.76188,0.35735,1.99427,1.18454,0.75749,0.000579764,0.000579764,0.000579764
28,3545.45,2.28902,1.1872,0.7351,0.86464,0.6901,0.77149,0.36257,2.02994,1.2823,0.75493,0.000578197,0.000578197,0.000578197
29,3670.18,2.26946,1.2009,0.73795,0.86749,0.71114,0.77729,0.3795,1.97601,1.19738,0.75598,0.000576574,0.000576574,0.000576574
30,3795.34,2.27402,1.12397,0.73884,0.86372,0.67572,0.77073,0.36658,1.98907,1.18318,0.75974,0.000574895,0.000574895,0.000574895
31,3920.18,2.21688,1.12932,0.73806,0.87918,0.67423,0.77111,0.38537,1.95682,1.19258,0.76623,0.000573161,0.000573161,0.000573161
32,4044.38,2.27755,1.16588,0.73781,0.85724,0.6853,0.78448,0.38229,1.98485,1.17175,0.75456,0.000571371,0.000571371,0.000571371
33,4168.36,2.27755,1.1166,0.73428,0.84759,0.71956,0.79019,0.3837,1.97866,1.14354,0.76005,0.000569527,0.000569527,0.000569527
