epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,91.0696,2.45855,1.33896,0.73833,0.81744,0.67572,0.74518,0.34274,2.12917,1.23863,0.75574,0.000198667,0.000198667,0.080332
2,152.118,2.49302,1.33881,0.73531,0.83133,0.64696,0.73734,0.34516,2.11728,1.30929,0.75253,0.000398637,0.000398637,0.060532
3,211.848,2.44526,1.27358,0.73733,0.82235,0.64856,0.71926,0.32587,2.12621,1.29674,0.75213,0.000598486,0.000598486,0.0407318
4,271.126,2.47253,1.37129,0.74136,0.81357,0.66227,0.73703,0.32106,2.23567,1.30989,0.75686,0.000798125,0.000798125,0.0209315
5,330.823,2.48116,1.31632,0.73728,0.87353,0.60686,0.7136,0.29622,2.18662,1.30023,0.75879,0.000997462,0.000997462,0.0011308
6,390.792,2.44286,1.30601,0.74153,0.83794,0.65176,0.72489,0.33253,2.15171,1.37936,0.75566,0.000998116,0.000998116,0.000998116
7,451.285,2.48012,1.30294,0.73535,0.80339,0.61342,0.68813,0.31649,2.15951,1.36372,0.76126,0.000997288,0.000997288,0.000997288
8,511.468,2.48039,1.35742,0.73729,0.83817,0.63738,0.72022,0.3156,2.22304,1.38382,0.75972,0.00099631,0.00099631,0.00099631
9,571.599,2.45087,1.28974,0.73559,0.8507,0.63738,0.72503,0.3238,2.19471,1.29225,0.76378,0.000995183,0.000995183,0.000995183
10,631.4,2.46712,1.31516,0.74076,0.84266,0.60863,0.71121,0.31341,2.21793,1.25218,0.76436,0.000993906,0.000993906,0.000993906
11,691.457,2.42716,1.28976,0.72984,0.87766,0.65655,0.74388,0.34133,2.13563,1.17248,0.75507,0.00099248,0.00099248,0.00099248
12,751.979,2.40014,1.25754,0.7325,0.83802,0.65016,0.73894,0.31693,2.19368,1.26837,0.75576,0.000990905,0.000990905,0.000990905
13,811.6,2.41833,1.25204,0.74573,0.84279,0.65086,0.75305,0.3628,2.06675,1.21307,0.75151,0.000989183,0.000989183,0.000989183
14,870.989,2.403,1.23544,0.73478,0.89331,0.66878,0.75816,0.34005,2.18462,1.17357,0.75462,0.000987313,0.000987313,0.000987313
15,931.838,2.44872,1.2533,0.72583,0.84953,0.66741,0.75364,0.36974,2.04211,1.1616,0.7569,0.000985296,0.000985296,0.000985296
16,992.958,2.40315,1.16657,0.74204,0.86791,0.65974,0.75494,0.35458,2.11702,1.1672,0.75535,0.000983133,0.000983133,0.000983133
17,1054,2.38028,1.1953,0.73719,0.84172,0.67112,0.74875,0.35243,2.05464,1.16683,0.7564,0.000980825,0.000980825,0.000980825
18,1114.86,2.33883,1.17585,0.73649,0.86437,0.66294,0.7523,0.31558,2.2407,1.19594,0.76563,0.000978371,0.000978371,0.000978371
19,1175.85,2.41207,1.25433,0.72758,0.89783,0.70189,0.78381,0.36939,2.08607,1.12797,0.75153,0.000975773,0.000975773,0.000975773
20,1236.35,2.38897,1.17237,0.72991,0.89074,0.66417,0.75822,0.35187,2.12391,1.11572,0.75972,0.000973032,0.000973032,0.000973032
21,1297.27,2.37095,1.18673,0.73401,0.81658,0.66138,0.73347,0.31756,2.22021,1.29024,0.76677,0.000970148,0.000970148,0.000970148
22,1358.37,2.38534,1.17067,0.73543,0.86682,0.68051,0.78076,0.37623,2.05088,1.07927,0.75132,0.000967122,0.000967122,0.000967122
23,1419.51,2.38871,1.19188,0.73061,0.84583,0.68362,0.76986,0.36538,2.0735,1.13286,0.75995,0.000963956,0.000963956,0.000963956
24,1480.59,2.38233,1.1761,0.72915,0.8573,0.70288,0.77639,0.36031,2.16043,1.11013,0.76173,0.00096065,0.00096065,0.00096065
25,1541.63,2.30251,1.14836,0.73561,0.82374,0.6901,0.77393,0.35249,2.10027,1.15316,0.75066,0.000957205,0.000957205,0.000957205
26,1603.1,2.39153,1.15169,0.73049,0.88182,0.6869,0.78746,0.37466,2.06986,1.09037,0.7521,0.000953622,0.000953622,0.000953622
27,1663.51,2.37484,1.13236,0.72948,0.83725,0.67388,0.7674,0.34562,2.10342,1.20558,0.75269,0.000949903,0.000949903,0.000949903
28,1724.58,2.40276,1.17088,0.72134,0.87653,0.71086,0.77977,0.3694,2.08843,1.16486,0.75568,0.000946048,0.000946048,0.000946048
29,1785.81,2.39952,1.16286,0.73509,0.87579,0.69835,0.79226,0.36569,2.12701,1.0531,0.75359,0.000942059,0.000942059,0.000942059
30,1846.91,2.30637,1.12132,0.73185,0.88142,0.68371,0.78029,0.36028,2.08702,1.1348,0.75142,0.000937937,0.000937937,0.000937937
31,1907.93,2.40215,1.12468,0.72445,0.91499,0.69808,0.79182,0.36938,2.10171,1.05503,0.75325,0.000933683,0.000933683,0.000933683
32,1968.32,2.36984,1.12796,0.73266,0.8472,0.73962,0.79398,0.37383,2.04778,1.13721,0.7592,0.000929298,0.000929298,0.000929298
33,2029.19,2.33377,1.1153,0.73095,0.89696,0.70927,0.79301,0.36195,2.1185,1.05845,0.75269,0.000924784,0.000924784,0.000924784
34,2089.25,2.35197,1.08423,0.7305,0.85476,0.73802,0.80972,0.38626,2.01143,1.0189,0.74962,0.000920142,0.000920142,0.000920142
35,2148.81,2.34409,1.11818,0.73109,0.88347,0.71565,0.79837,0.38286,2.03074,1.03514,0.7498,0.000915374,0.000915374,0.000915374
36,2210.08,2.34482,1.10881,0.73031,0.86727,0.72684,0.8099,0.38843,2.03207,1.0488,0.74905,0.00091048,0.00091048,0.00091048
37,2270.77,2.35544,1.07865,0.72304,0.87934,0.70288,0.77731,0.38083,2.01771,1.06439,0.75239,0.000905463,0.000905463,0.000905463
38,2331.4,2.32355,1.09542,0.7298,0.83768,0.73163,0.79566,0.38098,1.99718,1.04888,0.75041,0.000900325,0.000900325,0.000900325
39,2392.04,2.3199,1.09524,0.72422,0.88789,0.71086,0.80995,0.3851,2.0239,1.0119,0.75467,0.000895065,0.000895065,0.000895065
40,2453.01,2.32931,1.07384,0.72988,0.84316,0.70767,0.79185,0.35352,2.12192,1.11519,0.75279,0.000889687,0.000889687,0.000889687
41,2513.64,2.3484,1.06882,0.71689,0.84696,0.73379,0.81106,0.38942,2.03797,0.99636,0.75344,0.000884192,0.000884192,0.000884192
42,2574.48,2.28675,1.04676,0.72702,0.8612,0.71246,0.80317,0.37505,2.09369,1.05338,0.75621,0.000878581,0.000878581,0.000878581
43,2635.61,2.31158,1.06401,0.71763,0.82047,0.73002,0.79758,0.38434,2.01831,1.0346,0.7515,0.000872857,0.000872857,0.000872857
44,2695.81,2.31045,1.03994,0.72567,0.87185,0.7476,0.81121,0.39483,2.01834,1.02252,0.75239,0.00086702,0.00086702,0.00086702
45,2756.55,2.29964,1.03517,0.71415,0.81185,0.74601,0.80122,0.38704,2.04255,1.04232,0.75389,0.000861073,0.000861073,0.000861073
46,2816.92,2.2788,1.04033,0.72478,0.84571,0.74429,0.80595,0.39234,2.03853,1.02441,0.75309,0.000855018,0.000855018,0.000855018
47,2877.44,2.2938,1.02194,0.72123,0.84042,0.73195,0.81135,0.38618,2.01316,1.00185,0.7482,0.000848856,0.000848856,0.000848856
48,2937.48,2.25985,1.03636,0.72609,0.86816,0.73634,0.80778,0.39735,2.0179,0.98874,0.74819,0.000842589,0.000842589,0.000842589
49,2997.25,2.26233,1.02704,0.72989,0.88214,0.74121,0.82324,0.38866,2.05497,1.02208,0.75429,0.00083622,0.00083622,0.00083622
50,3057.11,2.33115,1.063,0.7168,0.88688,0.7139,0.80279,0.38647,2.02923,1.05844,0.74992,0.000829749,0.000829749,0.000829749
51,3117.3,2.29092,1.04669,0.72337,0.89104,0.73163,0.81936,0.39141,2.02718,1.01901,0.75339,0.00082318,0.00082318,0.00082318
52,3177.06,2.29977,1.03506,0.72314,0.87115,0.72843,0.80428,0.37437,2.09397,1.05741,0.75518,0.000816514,0.000816514,0.000816514
53,3237.84,2.34231,1.01693,0.71924,0.88614,0.73482,0.80478,0.38687,2.03827,1.0178,0.75444,0.000809752,0.000809752,0.000809752
54,3298.69,2.25962,1.01494,0.72091,0.90368,0.69329,0.80021,0.37494,2.08283,1.02737,0.75434,0.000802898,0.000802898,0.000802898
55,3359.77,2.30424,1.00158,0.73307,0.88723,0.72524,0.80951,0.40114,2.00434,0.99835,0.75486,0.000795954,0.000795954,0.000795954
56,3420.87,2.27018,1.01882,0.72102,0.88521,0.73323,0.8114,0.4063,2.01711,0.9963,0.74813,0.00078892,0.00078892,0.00078892
57,3482.04,2.29544,0.97965,0.72488,0.86714,0.74441,0.83,0.40541,2.01152,0.95358,0.75241,0.0007818,0.0007818,0.0007818
